time,open,high,low,close,volume
2019-09-29 00:05,8087.820000000000,8087.82,8062.5,8064.310000000000,22.51483919
2019-09-29 00:10,8071.940000000000,8071.94,8034.89,8054.400000000000,80.64436586000002
2019-09-29 00:15,8055.420000000000,8065.91,8009.84,8036.200000000000,74.79955280000001
2019-09-29 00:20,8045.610000000000,8061.99,8036.26,8048.710000000000,3.4579445000000004
2019-09-29 00:25,8059.040000000000,8060.79,8034.73,8049.150000000000,5.90359547
2019-09-29 00:30,8050.730000000000,8074.66,8050.73,8073.080000000000,8.108319970000002
2019-09-29 00:35,8062.780000000000,8075.33,8059.79,8061.070000000000,2.89846721
2019-09-29 00:40,8056.170000000000,8062.33,8040.0,8044.050000000000,2.9644192900000004
2019-09-29 00:45,8053.900000000000,8072.11,8040.04,8060.550000000000,3.5136427199999996
2019-09-29 00:50,8060.550000000000,8093.15,8060.55,8081.180000000000,29.21163368
2019-09-29 00:55,8088.200000000000,8093.96,8070.43,8078.860000000000,11.948128029999994
2019-09-29 01:00,8070.550000000000,8088.49,8070.44,8088.490000000000,0.13086957000000002
2019-09-29 01:05,8085.190000000000,8085.19,8061.58,8068.290000000000,15.393772899999993
2019-09-29 01:10,8081.030000000000,8124.18,8070.92,8106.100000000000,40.028699460000006
2019-09-29 01:15,8110.040000000000,8122.77,8093.06,8102.630000000000,7.940627029999998
2019-09-29 01:20,8116.470000000000,8146.78,8105.15,8127.550000000000,17.732293229999996
2019-09-29 01:25,8123.940000000000,8143.22,8116.96,8126.000000000000,8.93131619
2019-09-29 01:30,8130.000000000000,8142.9,8128.0,8130.660000000000,11.930078470000002
2019-09-29 01:35,8127.880000000000,8128.66,8100.11,8114.230000000000,25.61942581
2019-09-29 01:40,8114.230000000000,8114.23,8100.94,8103.140000000000,6.993864389999998
2019-09-29 01:45,8110.470000000000,8118.93,8103.04,8108.510000000000,2.52675782
2019-09-29 01:50,8121.300000000000,8135.68,8109.58,8119.030000000000,7.947126949999999
2019-09-29 01:55,8122.530000000000,8125.99,8104.55,8116.350000000000,10.043925670000004
2019-09-29 02:00,8104.550000000000,8119.43,8104.55,8104.550000000000,3.86976974
2019-09-29 02:05,8109.990000000000,8115.39,8100.08,8114.440000000000,2.42739685
2019-09-29 02:10,8106.720000000000,8119.94,8103.56,8109.980000000000,5.7543053299999976
2019-09-29 02:15,8116.550000000000,8128.04,8115.39,8128.040000000000,7.617024900000001
2019-09-29 02:20,8128.030000000000,8135.7,8122.82,8131.000000000000,8.24412015
2019-09-29 02:25,8123.790000000000,8139.0,8122.78,8139.000000000000,12.783032080000002
2019-09-29 02:30,8145.650000000000,8145.65,8131.62,8132.080000000000,18.64630249
2019-09-29 02:35,8139.910000000000,8139.92,8128.27,8128.270000000000,8.21777618
2019-09-29 02:40,8134.500000000000,8134.68,8113.2,8123.660000000000,11.097079959999997
2019-09-29 02:45,8113.120000000000,8124.47,8113.12,8114.740000000000,5.155117649999999
2019-09-29 02:50,8124.440000000000,8130.03,8119.49,8123.450000000000,2.9936615000000004
2019-09-29 02:55,8129.930000000000,8136.83,8121.25,8127.320000000000,5.68716236
2019-09-29 03:00,8135.780000000000,8173.86,8127.66,8155.430000000000,75.06236813999999
